,Field,Type,Default Aggregation,Field Calculation,Dup_Calc,Dup_Field
193,CY Claims PMPY,real,,"(SUM([Multiple Measure Formats (copy 2)])/SUM([# of Members - Actual (copy 2)]))
*12",,
185,CY Discount %,real,,(SUM([CY Total AWP (copy 2)])-SUM([CY Total Ingredient Cost (copy)]))/SUM([CY Total AWP (copy 2)]),,
175,CY Generic Discount %,real,,"(SUM(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
IF [Exclude]=""N"" THEN [Act_AWP] END END)-SUM(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
IF [Exclude]=""N"" THEN [Act_IngCost] END END))/SUM(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
IF [Exclude]=""N"" THEN [Act_AWP] END END)",,
181,CY Generic Utilization Rate,real,,"SUM(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
[Act_Claims] END)/SUM([Multiple Measure Formats (copy 2)])",,
233,CY Ingredient Cost PMPM,real,,SUM([CY Total Scripts (copy 3)])/SUM([# of Members - Actual (copy 2)]),,
215,CY Ingredient Cost per Claim,real,,SUM([CY Total Scripts (copy 3)])/SUM([Multiple Measure Formats (copy 2)]),,
252,CY Label (All),string,,"// Current Year Label
IFNULL(
CASE [Parameters].[Parameter 2]
    WHEN ""Discount"" THEN 
        STR(ROUND(100*(SUM([CY Total AWP (copy 2)])-SUM([CY Total Ingredient Cost (copy)]))/SUM([CY Total AWP (copy 2)]), 1)) + ""%""
    WHEN ""GUR"" THEN 
        IF LEFT(STR(ROUND(100*SUM(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
[Act_Claims] END)/SUM([Multiple Measure Formats (copy 2)]), 1)), 2) = "".""
        THEN LEFT(STR(ROUND(100*SUM(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
[Act_Claims] END)/SUM([Multiple Measure Formats (copy 2)]), 1)), 3) + ""%""
        ELSE LEFT(STR(ROUND(100*SUM(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
[Act_Claims] END)/SUM([Multiple Measure Formats (copy 2)]), 1)), 4) + ""%""
        END
    WHEN ""IC/Rx"" THEN 
        IF LEN(STR(ROUND([PY Ingredient Cost per Claim (copy)], 0))) > 3
        THEN ""$"" + LEFT(STR(ROUND([PY Ingredient Cost per Claim (copy)], 2)),1) + "","" + RIGHT(STR(ROUND([PY Ingredient Cost per Claim (copy)], 2)), len(STR(ROUND([PY Ingredient Cost per Claim (copy)],2)))-1)
        ELSE ""$"" + STR(ROUND([PY Ingredient Cost per Claim (copy)], 2))
        END
    WHEN ""IC/PMPM"" THEN ""$"" + STR(ROUND([Rx PMPY - Actual (CY) (copy 2)], 2))
    WHEN ""Total Claims"" THEN
        IF LEN(STR(ROUND(SUM([Multiple Measure Formats (copy 2)]), 0))) > 6
        THEN LEFT(STR(ROUND(SUM([Multiple Measure Formats (copy 2)]))), LEN(STR(ROUND(SUM([Multiple Measure Formats (copy 2)])))) - 6) + "","" + LEFT(RIGHT(STR(SUM([Multiple Measure Formats (copy 2)])), 6),3) + "","" + RIGHT(STR(ROUND(SUM([Multiple Measure Formats (copy 2)]), 0)), 3)
        ELSEIF LEN(STR(ROUND(SUM([Multiple Measure Formats (copy 2)]), -3))) > 3
        THEN LEFT(STR(SUM([Multiple Measure Formats (copy 2)])), LEN(STR(ROUND(SUM([Multiple Measure Formats (copy 2)]), 0))) - 3) + "","" + RIGHT(STR(ROUND(SUM([Multiple Measure Formats (copy 2)]), 0)), 3)
        ELSE RIGHT(STR(ROUND(SUM([Multiple Measure Formats (copy 2)]), 0)), 3)
        END
    WHEN ""IC Total$"" THEN 
        IF LEN(STR(ROUND(SUM([CY Total Scripts (copy 3)]), 0))) > 9
        THEN ""$"" + MID(STR(ROUND(SUM([CY Total Scripts (copy 3)]),0)),1,LEN(STR(ROUND(SUM([CY Total Scripts (copy 3)]),0)))-9) + "","" + MID(STR(ROUND(SUM([CY Total Scripts (copy 3)]),0)),LEN(STR(ROUND(SUM([CY Total Scripts (copy 3)]),0)))-8, 3) + "","" + MID(STR(ROUND(SUM([CY Total Scripts (copy 3)]),0)),LEN(STR(ROUND(SUM([CY Total Scripts (copy 3)]),0)))-5, 3)+ "","" + MID(STR(ROUND(SUM([CY Total Scripts (copy 3)]),0)),LEN(STR(ROUND(SUM([CY Total Scripts (copy 3)]),0)))-2, 3)
        ELSEIF LEN(STR(ROUND(SUM([CY Total Scripts (copy 3)]), -3))) > 6
        THEN ""$"" + LEFT(STR(SUM([CY Total Scripts (copy 3)])), LEN(STR(ROUND(SUM([CY Total Scripts (copy 3)]),0))) - 6) + "","" + LEFT(RIGHT(STR(ROUND(SUM([CY Total Scripts (copy 3)]),0)), 6),3) + "","" + RIGHT(STR(ROUND(SUM([CY Total Scripts (copy 3)]), 0)), 3)
        ELSE ""$"" + LEFT(STR(ROUND(SUM([CY Total Scripts (copy 3)]), -3)), LEN(STR(ROUND(SUM([CY Total Scripts (copy 3)]), -3))) - 3) + "","" + RIGHT(STR(ROUND(SUM([CY Total Scripts (copy 3)]), 0)), 3)
        END
    WHEN ""Rx/PMPY"" THEN str(ROUND([Rx PMPY - Actual (for trends) (copy)],1))
END, ""N/A"")",,
269,CY Label (Decimal),real,,"CASE [Parameters].[Parameter 2]
    WHEN ""IC/Rx"" THEN ROUND([PY Ingredient Cost per Claim (copy)],2)
    WHEN ""IC/PMPM"" THEN ROUND([Rx PMPY - Actual (CY) (copy 2)],2)
    WHEN ""IC/PMPY"" THEN null
    WHEN ""IC Total$"" THEN null
    WHEN ""Total Claims"" THEN null
    WHEN ""Rx/PMPY"" THEN ROUND([Rx PMPY - Actual (for trends) (copy)],2)
END",,
121,CY Label (Integer),real,,"CASE [Parameters].[Parameter 2]

    WHEN ""Total Claims"" THEN SUM([Multiple Measure Formats (copy 2)])
    WHEN ""IC Total$"" THEN SUM([CY Total Scripts (copy 3)])
END",,
130,CY Label (Percentage),real,,"CASE [Parameters].[Parameter 2]
    WHEN ""Discount"" THEN (SUM([CY Total AWP (copy 2)])-SUM([CY Total Ingredient Cost (copy)]))/SUM([CY Total AWP (copy 2)])
    WHEN ""GUR"" THEN SUM(IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
[Act_Claims] END)/SUM([Multiple Measure Formats (copy 2)])
END",,
135,CY Member N/A Label,string,,"IF ISNULL(STR([CY Members (LOD) (copy)])) THEN ""N/A"" END",,
113,CY Members,real,,"IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" THEN
   [Act_Members]
END",,
105,CY Members (LOD),real,,"{ FIXED [Client], [Population], [Contract], [PBP], [FilledMonth]: AVG([CY Total Scripts (copy 2)])}",,
221,CY Members (LOD) -ES,real,,"If [Parameters].[Parameter 1] = 'All Populations' THEN //Contract/PBP view selected
    { FIXED [Year Label (copy)], [Client], [Contract], [PBP], [FilledMonth]: AVG([CY Total Scripts (copy 2)])}
ELSE
    { FIXED [Year Label (copy)], [Client], [Population], [FilledMonth]: AVG([CY Total Scripts (copy 2)])}
END",,
299,CY Rebates PMPM (Actual),real,,"SUM(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Rebates] END)/
(SUM({FIXED [Client],[Population], IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END, [Quarter]: AVG(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Population_Members] END)})/
(COUNTD(IF IF YEAR([ThruDate])=DATEPART('year',[Quarter]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[Quarter]) THEN ""Prior Year""
END = 'Current Year' THEN [Quarter] END))*3)",,
240,CY Total AWP,real,,"IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" THEN
[Act_AWP] END",,
188,CY Total AWP (Discount),real,,"IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" THEN
IF [Exclude]=""N"" THEN [Act_AWP] END END",,
182,CY Total Brand AWP,real,,"IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""N"" AND [Exclude]=""N""
THEN [Act_AWP]
END",,
247,CY Total Brand Ingredient Cost,real,,"IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""N"" AND [Exclude]=""N""
THEN [Act_IngCost]
END",,
190,CY Total Generic AWP,real,,"IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
IF [Exclude]=""N"" THEN [Act_AWP] END END",,
108,CY Total Generic Ingredient Cost,real,,"IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
IF [Exclude]=""N"" THEN [Act_IngCost] END END",,
273,CY Total Generic Scripts,real,,"IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" AND [GenericFlag]=""Y"" THEN
[Act_Claims] END",,
256,CY Total Ingredient Cost,real,,"IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" THEN 
   [Act_IngCost]
END",,
242,CY Total Ingredient Cost (Discount),real,,"IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" THEN 
   IF [Exclude]=""N"" THEN [Act_IngCost] END
END",,
216,CY Total Scripts,real,,"IF IF YEAR([ThruDate])=DATEPART('year',[FilledMonth]) AND DATEPART('month',[FilledMonth]) <= DATEPART('month',[ThruDate]) THEN ""Current Year""
ELSEIF YEAR([ThruDate])-1=DATEPART('year',[FilledMonth]) THEN ""Prior Year""
ELSE ""2 Years Ago""
END=""Current Year"" THEN 
   [Act_Claims]
END",,
578,Chain Name,string,,,,
526,ChainName,string,,,,
115,Channel,string,,,,
13,City,string,,,,
136,Claim Type,string,,,,
495,ClaimType,string,,,,
460,Claims % of Total,real,,SUM(ZN([Act_Claims])) / TOTAL(SUM(ZN([Act_Claims]))),,
418,Claims (Actual),real,,ZN([Act_Claims]),,
355,Claims (Difference),real,,"SUM(ZN([Act_Claims]))-SUM(ZN([Projection_Claims])*DATEDIFF('day', DATE('1-1-' + STR(YEAR([AsOf]))), [AsOf])/365)",,
442,Claims (Projection),real,,"ZN([Projection_Claims])*DATEDIFF('day', DATE('1-1-' + STR(YEAR([AsOf]))), [AsOf])/365",,
400,Claims PMPY (% Difference),real,,([Rx PMPY - Actual (copy 2)]/[Rx PMPY - Actual (copy)]),,
406,Claims PMPY (% Difference) (Down),string,,"IIF(([Rx PMPY - Actual (copy 2)]/[Rx PMPY - Actual (copy)])<0, ""▼ ""+STR(ROUND(([Rx PMPY - Actual (copy 2)]/[Rx PMPY - Actual (copy)])*100,1))+""%"","""")",,
380,Claims PMPY (% Difference) (Up),string,,"IIF(([Rx PMPY - Actual (copy 2)]/[Rx PMPY - Actual (copy)])>=0, ""▲ ""+STR(ROUND(([Rx PMPY - Actual (copy 2)]/[Rx PMPY - Actual (copy)])*100,1))+""%"","""")",,
401,Claims PMPY (% Difference) (Up/Down),string,,"IF ([Rx PMPY - Actual (copy 2)]/[Rx PMPY - Actual (copy)]) > 0
THEN ""▼ "" + STR(ROUND(ABS(([Rx PMPY - Actual (copy 2)]/[Rx PMPY - Actual (copy)]))*100,1)) + ""%""
ELSEIF ([Rx PMPY - Actual (copy 2)]/[Rx PMPY - Actual (copy)]) < 0
THEN ""▲ "" + STR(Round(ABS(([Rx PMPY - Actual (copy 2)]/[Rx PMPY - Actual (copy)])*100),1)) + ""%""
ELSE STR(ROUND(([Rx PMPY - Actual (copy 2)]/[Rx PMPY - Actual (copy)])*100,1)) + ""%""
END",,
415,Claims PMPY (Actual),real,,"(
    (SUM(ZN([Act_Claims])) / [# of Months to Date (copy)])*12
) 
/
SUM({ FIXED [Client], [Population],[FilledYear]:MAX([Act_Members])})",,
366,Claims PMPY (Difference),real,,"(
    (SUM(ZN([Act_Claims])) / [# of Months to Date (copy)])*12
) 
/
SUM({ FIXED [Client], [Population],[FilledYear]:MAX([Act_Members])})-[Rx PMPY - Actual (copy)]",,
446,Claims PMPY (Difference) (tooltip),string,,"IF (
    (SUM(ZN([Act_Claims])) / [# of Months to Date (copy)])*12
) 
/
SUM({ FIXED [Client], [Population],[FilledYear]:MAX([Act_Members])})-[Rx PMPY - Actual (copy)]>0 then ""lower"" else ""higher"" end",,
376,Claims PMPY (Projection),real,,SUM([Projection_Claims])/SUM([# of Members - Actual (copy)]),,
